county,school_district,full_time_teachers,lowest_salary_offered,average_salary,highest_salary_offered,step_10_salary,school
Kern,EL TEJON UNIFIED,32.13,37627,62539,72421,56184,El Tejon Unified
Sutter,SUTTER UNION HIGH,32.17,44167,62759,79314,62656,Sutter Union High
Butte,BIGGS UNIFIED,32.75,37485,52726,72727,50642,Biggs Unified
Shasta,GRANT ELEMENTARY,33,44777,65729,75429,61989,Grant Elementary
San Benito,NORTH COUNTY JOINT UN ELEMENTARY,33,50062,66596,85077,65384,North County Joint Un Elementary
Nevada,UNION HILL ELEMENTARY,34.23,41106,70057,78770,60222,Union Hill Elementary
Yolo,YOLO COUNTY OFFICE OF ED.,34.9,40174,58112,79279,58991,Yolo County Office Of Ed.
El Dorado,POLLOCK PINES ELEMENTARY,35,44029,65374,77532,58886,Pollock Pines Elementary
Tulare,RICHGROVE ELEMENTARY,35,44598,72251,84735,66183,Richgrove Elementary
Tulare,SUNDALE UNION ELEMENTARY,35,47209,65855,78457,65448,Sundale Union Elementary
Shasta,PACHECO UNION ELEMENTARY,35.23,40799,54647,72060,54321,Pacheco Union Elementary
Tuolumne,SUMMERVILLE UNION HIGH,35.57,43831,67611,97414,70668,Summerville Union High
Mendocino,ANDERSON VALLEY UNIFIED,35.95,39780,53897,68660,48930,Anderson Valley Unified
Mono,EASTERN SIERRA UNIFIED,36,41024,62357,82311,61097,Eastern Sierra Unified
Nevada,PENN VALLEY UNION ELEMENTARY,36.32,44382,59966,74765,57245,Penn Valley Union Elementary
Siskiyou,YREKA UNION HIGH,36.4,50140,72338,85527,68697,Yreka Union High
Placer,PLACER HILLS ELEMENTARY,36.66,36792,64649,72338,57204,Placer Hills Elementary
Santa Barbara,MONTECITO UNION ELEMENTARY,36.72,50524,104152,123320,94984,Montecito Union Elementary
San Luis Obispo,SAN MIGUEL JOINT UNION ELEMENTARY,36.79,38627,56947,77168,61090,San Miguel Joint Union Elementary
Humboldt,ARCATA ELEMENTARY,36.85,37837,58215,71750,59394,Arcata Elementary
Kern,KERNVILLE UNION ELEMENTARY,37,44387,59923,70591,59058,Kernville Union Elementary
Stanislaus,KEYES UNION ELEMENTARY,37,44501,71593,88274,68102,Keyes Union Elementary
Tulare,STRATHMORE UNION ELEMENTARY,37,42870,66215,83131,64476,Strathmore Union Elementary
Tehama,ANTELOPE ELEMENTARY,37.38,41023,63465,72926,53807,Antelope Elementary
Glenn,HAMILTON UNIFIED,37.5,37016,63495,78381,60071,Hamilton Unified
Calaveras,MARK TWAIN UNION ELEMENTARY,38,33045,61627,83272,61975,Mark Twain Union Elementary
Trinity,TRINITY ALPS UNIFIED,38.5,39602,66465,79750,60089,Trinity Alps Unified
